,Outer right eye corner_x,Outer right eye corner_y,Upper lip inner middle_y,Upper lip inner middle_x,Outer left eyebrow_x,Outer left eyebrow_y,Outer left eye corner_x,Outer left eye corner_y,Right nose peak_x,Right nose peak_y,Inner left eyebrow_y,Inner left eyebrow_x,Outer right eyebrow_x,Outer right eyebrow_y,Lower lip inner middle_x,Lower lip inner middle_y,Nose tip_y,Nose tip_x,Inner right eyebrow_y,Inner right eyebrow_x,Nose saddle left_x,Nose saddle left_y,Upper lip outer middle_x,Upper lip outer middle_y,Middle right eyebrow_y,Middle right eyebrow_x,Nose saddle right_x,Nose saddle right_y,Inner left eye corner_y,Inner left eye corner_x,Left mouth corner_y,Left mouth corner_x,Inner right eye corner_y,Inner right eye corner_x,Left temple_x,Left temple_y,Right mouth corner_y,Right mouth corner_x,Left nose peak_x,Left nose peak_y,Emotion,Chin middle_y,Chin middle_x,Middle left eyebrow_y,Middle left eyebrow_x,Lower lip outer middle_y,Lower lip outer middle_x,Right temple_x,Right temple_y
0,929.629,406.831,946.586,570.91,78.0899,339.781,182.018,426.946,708.363,718.615,306.255,420.047,1046.97,333.076,567.558,1037.1,641.507,574.263,312.96,681.543,507.212,477.234,567.558,903.004,222.442,875.989,614.493,473.881,430.299,433.457,996.874,413.342,430.299,684.896,21.5106,453.534,996.874,725.126,430.104,701.853,28,1332.13,567.558,235.853,228.953,1104.15,567.558,1017.81,457.211
1,946.032,400.378,917.845,594.665,109.14,323.716,211.356,413.155,744.795,707.025,301.356,450.924,1051.44,317.327,597.86,988.119,636.752,601.054,304.55,703.27,527.586,457.874,591.471,885.903,237.471,917.284,648.968,451.486,416.349,454.119,943.399,380.651,413.155,700.076,7.72812,555.336,946.594,795.903,444.536,697.442,27,1275.6,597.86,224.694,256.076,1048.81,601.054,1066.85,555.336
2,713.694,387.773,949.788,384.342,98.0252,412.27,103.119,412.989,471.968,720.147,333.385,203.047,759.018,269.932,375.277,955.831,717.126,260.457,324.32,402.471,509.176,570.903,357.147,928.637,233.673,568.658,351.104,430.076,442.162,257.435,955.831,272.543,417.989,478.011,5.92301,476.934,940.723,601.896,425.004,820.183,47,1215.69,438.73,275.975,24.7734,1001.15,381.32,1150.14,441.769
3,725.608,440.054,864.068,229.421,70.4065,441.299,182.198,512.629,400.831,662.586,283.68,271.522,833.867,331.795,229.421,879.104,566.356,202.356,292.701,463.982,487.385,573.673,226.414,824.975,241.579,665.464,361.737,412.989,400.96,265.507,921.205,112.14,415.996,491.047,1.91002,476.912,939.248,451.953,404.651,792.09,48,1152.76,169.277,208.5,112.14,924.212,205.363,1150.31,440.288
4,923.565,473.781,1056.51,590.112,101.953,457.054,166.378,527.342,713.133,807.234,421.982,421.766,981.838,396.083,590.112,1072.7,765.147,567.45,412.27,664.572,519.795,546.838,583.637,1033.85,363.709,836.155,625.723,570.903,512.629,431.478,1056.51,444.428,502.917,667.809,6.3472,385.09,1033.85,735.795,447.277,819.644,34,1299.32,593.349,363.709,230.759,1095.36,593.349,1148.46,354.962
5,894.435,490.939,1017.13,546.953,101.147,465.169,205.55,522.665,699.183,795.399,424.752,388.104,973.86,404.896,553.572,1060.15,805.327,546.953,428.061,652.853,545.119,575.327,546.953,980.723,368.493,838.176,583.356,567.054,527.342,414.579,1050.22,345.083,514.104,649.543,30.1963,438.614,1040.29,785.227,448.313,775.615,35,1314.97,566.809,368.493,179.615,1109.79,553.572,1145.94,529.368
6,923.824,477.773,1033.74,602.673,89.3705,471.464,191.277,538.608,737.349,816.191,398.349,430.011,1006.7,391.442,606.126,1137.34,757.486,588.86,415.615,675.191,513.975,569.45,602.673,995.759,350.004,840.946,619.939,543.385,526.119,426.558,1102.81,423.104,508.853,678.644,41.9898,453.368,1089,778.788,432.32,830.745,32,1392.88,592.313,374.176,243.536,1185.69,602.673,1206.09,427.209
7,949.032,511.903,992.594,601.867,84.5791,436.637,174.291,549.853,758.759,795.644,415.097,434.96,1052.51,415.097,605.205,1056.02,768.939,595.191,415.097,718.701,544.723,606.536,605.205,955.874,341.658,905.637,641.924,578.665,521.917,461.665,1005.95,361.522,515.241,698.673,31.9935,444.591,989.255,845.55,456.234,822.45,30,1326.41,591.853,358.349,234.673,1106.09,611.881,1179.01,427.136
8,912.45,504.126,1029.98,592.363,125.406,444.14,201.385,546.363,726.277,814.414,406.14,409.457,997.371,425.737,595.629,1043.05,752.356,576.032,415.939,677.284,527.781,572.629,582.565,1000.59,370.212,843.86,608.694,566.183,526.989,429.054,1049.58,380.061,513.924,667.486,12.2291,480.09,1036.51,785.068,456.773,782.27,33,1310.87,582.565,376.745,206.953,1098.57,595.629,1145.33,435.808
9,951.773,514.507,1052.52,622.594,74.5863,446.543,196.414,532.054,757.097,840.147,390.622,431.457,1047.34,376.464,615.514,1133.93,783.514,619.054,387.083,714.622,480.083,586.14,626.133,1013.59,302.133,891.601,650.91,599.457,546.363,466.853,1095,417.299,539.284,707.543,9.74675,496.365,1073.76,806.651,396.989,802.183,31,1431.26,604.896,333.989,265.097,1197.64,608.435,1169.52,415.86
10,953.824,501.622,991.91,598.788,91.5288,446.543,164.327,536.284,744.183,792.414,413.709,433.104,1024.83,410.327,608.932,1056.15,768.745,598.788,417.09,717.133,510.32,582.817,598.788,951.335,349.464,889.579,646.126,572.629,525.291,463.536,1046.01,412.817,515.147,693.464,3.52968,492.48,1042.63,777.996,433.874,812.155,,1343.56,588.644,352.845,243.752,1113.64,602.169,1138.88,397.415
11,882.255,513.018,1028.2,549.881,95.5504,324.349,174.622,532.96,699.45,802.183,416.629,373.723,998.586,423.277,549.881,1044.82,749.004,539.91,409.982,672.86,508.155,438.277,546.558,984.989,343.507,852.342,579.795,582.817,526.313,396.989,1018.23,340.486,522.989,649.594,43.9045,503.3,1014.9,785.867,434.255,678.45,19,1347.28,553.205,370.097,194.241,1084.7,553.205,1201.25,439.849
12,912.493,506.371,1028.2,613.356,77.9748,427.615,187.924,413.644,723.04,802.183,406.658,417.255,1018.85,416.629,620.004,1041.49,772.27,553.529,406.658,689.802,504.45,552.277,606.709,998.284,340.183,865.96,600.061,582.817,529.637,427.227,1071.41,380.694,522.989,669.86,30.8414,486.313,1021.55,809.457,422.435,791.759,6,1327.33,629.975,360.126,221.155,1091.35,613.356,1190.41,452.739
13,908.442,404.406,918.622,569.737,91.5288,459.838,192.795,516.191,711.378,696.924,293.558,415.781,1025.45,305.874,569.737,937.097,650.737,566.658,308.953,683.665,503.673,599.435,560.5,887.831,235.054,896.126,603.608,435.198,413.644,421.939,918.622,360.356,413.644,674.428,11.9286,461.071,927.86,788.356,407.284,818.802,7,1223.46,572.817,231.975,224.874,986.363,569.737,1151.07,422.5
14,911.241,493.227,1018.12,524.133,87.9892,331.939,191.241,542.932,704.565,804.881,391.529,399.471,1009.66,407.932,514.291,1047.64,732.709,560.219,384.968,681.601,497.629,476.888,530.694,982.032,332.478,875.155,599.586,548.996,512.91,432.277,1005,320.737,512.91,691.442,4.40909,471.975,1050.92,763.615,418.853,710.068,9,1313.37,533.975,335.759,209.198,1093.57,511.011,1151.33,433.504
15,909.169,529.637,1054.79,570.147,86.3561,440.759,182.522,417.018,713.068,822.126,423.277,410.608,1012.21,426.601,570.147,1071.41,765.622,563.5,416.629,689.802,505.637,576.011,566.824,1024.87,360.126,875.932,613.356,599.435,546.255,427.227,1034.85,354.104,532.96,663.212,26.5334,455.851,1031.52,802.809,427.867,819.464,8,1347.28,576.795,363.45,214.507,1114.62,570.147,1182.79,436.17
16,913.572,404.414,955.853,563.802,113.025,447.522,187.795,542.198,699.299,713.219,309.881,437.759,1020.71,316.183,563.802,974.759,650.198,557.5,325.637,652.032,532.306,592.917,557.5,914.888,250.011,860.004,620.522,476.888,423.32,425.155,981.061,336.924,423.32,661.486,20.4332,469.12,977.91,778.076,441.011,829.608,10,1230,554.349,256.313,214.032,1015.72,563.802,1162.55,441.569
17,904.629,511.766,1049.39,573.263,124.572,437.953,204.32,545.579,705.133,822.845,410.327,404.198,1009.45,423.853,569.881,1089.97,758.601,559.737,413.709,698.371,537.234,578.946,570.24,1011.18,342.701,867.435,596.932,569.248,538.817,421.104,1076.44,363.622,532.054,681.464,23.3442,472.743,1093.47,787.163,461.579,823.104,12,1363.85,586.788,359.608,204.701,1133.92,573.263,1179.89,440.617
18,941.442,525.291,991.91,569.5,99.5,447.522,217.421,541.119,735.183,846.514,423.853,430.867,1046.26,417.09,572.881,1012.2,782.27,569.5,427.234,714.896,515.399,586.155,572.881,964.86,346.083,870.435,623.601,592.917,552.342,451.155,1073.06,373.385,532.054,691.227,11.539,479.5,1052.77,806.191,434.248,812.701,2,1336.8,579.644,359.608,217.845,1056.15,572.881,1168.53,469.526
19,946.457,517.047,1070.7,602.572,109.241,452.025,187.414,521.91,740.126,833.421,407.004,440.946,1056.5,434.514,602.572,1122.28,761.205,599.133,424.198,716.054,518.421,580.327,595.694,1012.24,365.737,881.119,647.277,578.946,544.558,465.018,1098.21,478.773,527.363,712.615,7.80983,481.27,1091.33,747.004,445.601,826.529,13,1390.51,602.572,351.982,251.809,1184.18,602.572,1152.49,435.986
20,917.773,508.385,1046.01,572.881,113.888,437.953,199.399,542.183,714.896,819.464,400.183,424.104,1015.83,406.946,583.025,1083.21,765.363,576.263,406.946,691.227,533.428,596.14,572.881,1005.44,346.083,863.673,616.838,582.773,532.054,430.867,1093.35,336.191,521.91,677.701,11.9286,461.606,1076.44,812.953,440.579,823.104,15,1346.95,579.644,352.845,224.608,1137.31,583.025,1159.05,451.587
21,938.004,521.378,1027.65,580.838,125.406,437.378,206.737,541.119,729.946,833.464,427.752,428.263,1035.1,420.817,577.371,1173.29,784.917,580.838,424.284,705.673,534.543,572.629,584.306,982.572,358.399,882.522,622.45,580.327,552.586,449.068,1086.6,421.327,531.781,695.27,20.9286,483.051,1086.6,747.284,450.011,805.939,11,1409.09,587.773,365.335,230.608,1239.18,587.773,1173.91,453.418
22,946.09,534.241,1077.58,578.133,95.7374,450.903,216.701,528.673,729.442,816.227,420.759,437.14,1038.94,431.076,578.133,1098.21,757.766,581.572,420.759,708.809,504.874,579.392,574.694,1032.87,355.421,887.629,619.399,599.579,544.558,457.773,1084.46,437.14,534.241,691.615,10.2143,462.691,1084.46,722.565,437.248,805.939,14,1359.56,574.694,355.421,241.126,1153.23,588.45,1159.94,444.925
23,957.205,505.004,1066.3,595.406,85.5216,457.658,200.558,521.91,744.183,816.083,403.565,453.392,1051.88,430.615,598.788,1083.21,748.457,602.169,406.946,717.133,499.795,598.09,595.406,1035.87,352.845,892.96,652.888,576.011,528.673,470.299,1046.01,402.673,525.291,706.989,22.2588,473.294,1046.01,781.378,426.068,815.759,16,1353.71,588.644,349.464,240.371,1106.87,598.788,1166.95,442.971
24,930.917,505.004,1039.25,575.881,101.284,447.061,180.313,541.917,717.896,816.083,400.183,410.198,1032.36,403.565,579.263,1073.06,751.838,572.5,406.946,711.133,512.349,566.155,569.119,998.673,335.939,876.817,613.076,579.392,528.673,433.867,1076.44,389.91,521.91,680.701,4.14193,471.68,1076.44,782.14,435.514,808.183,17,1350.33,582.644,346.083,224.227,1117.02,579.263,1142.08,435.057
25,914.068,527.874,1054.49,566.5,105.126,443.241,205.011,531.579,706.932,826.291,415.529,412.025,1015.88,429.572,573.522,1131.73,759.586,566.5,412.018,682.356,516.061,571.011,555.968,1015.87,352.335,857.896,598.097,591.068,541.917,429.579,1103.64,383.939,538.406,675.335,8.54453,485.116,1103.64,752.572,450.45,833.457,3,1430.15,584.054,359.356,222.442,1194.92,577.032,1155.67,446.878
26,934.939,520.054,1031,573.817,105.119,427.234,208.723,529.572,719.802,815.867,400.96,416.306,1027.14,416.327,577.658,1276.87,727.507,569.975,389.435,700.594,531.162,565.867,573.817,996.428,331.809,896.522,616.076,562.313,523.896,443.198,1153.94,420.147,527.737,696.752,5.29406,473.723,1146.26,754.378,456.773,805.939,4,1545.79,585.342,339.493,224.219,1353.71,581.5,1147.45,433.47
